,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
374,Faya,SA,1575594654,18.39,42.45,57.2,54,3,3.36
375,Rio Grande,BR,1575595100,-32.03,-52.1,61.0,85,27,13.87
376,Iwanai,JP,1575595101,42.97,140.51,23.61,90,100,12.68
377,Tanete,ID,1575595102,-3.94,119.78,86.38,63,95,2.3
378,Tabas,IR,1575595103,33.6,56.92,50.09,54,0,0.98
379,Aquiraz,BR,1575594654,-3.9,-38.39,80.6,78,20,6.93
380,Flinders,AU,1575595105,-34.58,150.85,80.6,34,75,4.7
381,Jalu,LY,1575595106,29.03,21.55,58.08,42,0,5.75
382,Livingstone,ZW,1575595107,-17.85,25.86,71.35,72,81,5.61
383,Maraba,BR,1575595108,-5.35,-49.1,82.4,83,40,1.12
384,Pontivy,FR,1575595109,48.06,-2.97,51.01,87,90,14.99
385,Chicama,PE,1575594649,-7.84,-79.15,68.0,82,75,9.17
386,Digha,IN,1575595111,21.62,87.51,69.85,61,51,8.9
387,Lakes Entrance,AU,1575595112,-37.88,147.99,71.01,44,67,8.01
388,Moron,HT,1575595114,18.56,-74.26,79.7,81,5,14.5
389,Byron Bay,AU,1575595115,-28.65,153.62,99.0,42,0,9.17
390,Coruripe,BR,1575595116,-10.12,-36.18,79.32,78,62,17.13
391,Tuatapere,NZ,1575594637,-46.13,167.69,55.0,81,72,11.99
392,Craig,US,1575595118,40.52,-107.55,35.6,98,90,5.82
393,Beidao,CN,1575595119,34.57,105.89,26.56,75,0,1.36
394,Clarksburg,US,1575595120,39.24,-77.28,39.99,59,1,6.15
395,Itacoatiara,BR,1575595121,-3.14,-58.44,82.96,59,26,2.77
396,Kingsville,US,1575595122,27.52,-97.86,72.0,83,75,10.29
397,Sola,TZ,1575595123,-3.17,33.8,65.3,82,65,1.21
398,Nkayi,CG,1575595124,-4.18,13.29,71.8,98,91,2.53
399,Dalvik,SE,1575595125,57.79,14.13,41.0,93,100,21.92
400,Talara,PE,1575595126,-4.58,-81.27,70.74,90,1,17.45
401,Caldwell,US,1575595127,43.67,-116.69,39.2,80,90,5.82
402,Buchanan,LR,1575595128,5.88,-10.05,78.8,94,20,4.43
403,Jegalia,RO,1575595129,44.3,27.63,30.2,92,0,8.05
404,Roebourne,AU,1575595130,-20.77,117.15,92.53,23,47,4.68
405,Vostok,RU,1575595131,46.45,135.83,-11.13,94,68,5.48
406,Half Moon Bay,US,1575594647,37.46,-122.43,59.0,87,90,9.17
407,Upernavik,GL,1575594635,72.79,-56.15,6.78,68,0,16.11
408,Riviere-au-Renard,CA,1575595135,49.0,-64.4,28.4,92,90,2.24
409,Batticaloa,LK,1575595136,7.71,81.69,74.52,92,100,2.33
410,Saldanha,PT,1575595137,41.42,-6.55,41.59,88,0,7.36
411,Mwinilunga,ZM,1575595138,-11.73,24.43,62.53,99,100,2.77
412,Sohag,EG,1575595139,26.55,31.7,55.4,71,37,3.36
413,Nyanza,RW,1575595140,-2.35,29.75,60.17,96,82,1.43
414,Fukue,JP,1575595141,35.03,136.69,48.2,61,75,25.28
415,Karaidel,RU,1575595142,55.83,56.91,19.17,93,100,16.28
416,Madison,US,1575594938,43.07,-89.38,41.0,75,1,5.82
417,Sao Jose da Coroa Grande,BR,1575595144,-8.9,-35.15,80.73,76,77,13.67
418,Banjar,ID,1575595145,-7.37,108.54,78.22,71,100,1.1
419,Dawson Creek,CA,1575595146,55.76,-120.23,26.6,58,1,5.82
420,Panjab,AF,1575595147,34.38,67.02,7.83,39,0,3.53
421,Hasaki,JP,1575594631,35.73,140.83,45.0,52,75,12.75
422,Magadan,RU,1575595149,59.56,150.8,2.77,84,99,21.92
423,Gualaquiza,EC,1575595150,-3.4,-78.58,65.21,97,100,1.23
424,Skibbereen,IE,1575595151,51.55,-9.27,51.8,100,90,13.87
425,Tessalit,ML,1575594632,20.2,1.01,67.08,15,25,6.29
426,Kawhia,NZ,1575595154,-38.07,174.82,77.0,64,44,13.0
427,Saint-Augustin,CA,1575594650,45.63,-73.98,25.0,79,90,8.05
428,Quincy,US,1575595156,47.23,-119.85,39.2,86,90,3.36
429,Qandala,SO,1575595157,11.47,49.87,74.7,91,100,12.91
430,Isabela,PH,1575595158,10.2,122.99,76.55,80,84,1.9
431,Dauriya,RU,1575595159,49.93,116.85,-4.34,93,0,7.49
432,Ucluelet,CA,1575594452,48.94,-125.55,46.4,81,90,10.29
433,Tiszafoldvar,HU,1575595161,46.98,20.25,28.4,100,90,4.7
434,Maku,IR,1575595164,39.29,44.45,28.35,92,89,1.97
435,Saint-Leu,RE,1575594643,-21.15,55.28,71.6,83,47,5.82
436,Gigmoto,PH,1575594633,13.78,124.39,81.72,75,67,2.53
437,Xuddur,SO,1575595167,4.12,43.89,72.63,66,69,5.12
438,Jiayuguan,CN,1575594655,39.77,98.29,17.83,54,70,1.77
439,Hokitika,NZ,1575595169,-42.72,170.96,60.33,84,100,23.64
440,Turan,RU,1575595170,52.15,93.92,-2.13,88,0,2.77
441,Koslan,RU,1575595171,63.46,48.9,33.21,98,100,11.27
442,Pocoes,BR,1575595172,-14.53,-40.37,67.03,87,13,6.91
443,Port Blair,IN,1575595174,11.67,92.75,79.77,70,64,20.85
444,Novogurovskiy,RU,1575595175,54.47,37.34,35.6,90,100,13.42
445,Del Rio,US,1575595176,29.36,-100.9,69.8,40,1,5.82
446,Maceio,BR,1575595177,-9.67,-35.74,73.4,88,75,5.82
447,Eugene,US,1575595178,44.05,-123.1,46.99,86,40,3.36
448,Rancho Palos Verdes,US,1575595179,33.75,-118.37,64.0,82,75,3.36
449,Fairbanks,US,1575594641,64.84,-147.72,-16.6,68,1,3.42
450,Surin,TH,1575595061,14.88,103.49,64.99,72,18,6.93
451,Lagoa,PT,1575594637,37.14,-8.45,57.2,62,31,8.05
452,Champerico,MX,1575594636,16.38,-93.6,78.8,61,40,14.99
453,Port Washington,US,1575595184,43.39,-87.88,39.2,88,1,6.17
454,Astana,KZ,1575595185,51.13,71.43,19.4,79,90,15.66
455,Tura,RU,1575594652,64.27,100.22,-3.68,95,100,4.23
456,Sao Joao da Barra,BR,1575594648,-21.64,-41.05,76.93,89,83,19.17
457,Atar,MR,1575595188,20.52,-13.05,58.66,48,6,2.48
458,Honningsvag,NO,1575595190,70.98,25.97,37.62,86,100,2.19
459,Channel-Port aux Basques,CA,1575595191,47.57,-59.14,33.93,93,100,12.3
460,Sobolevo,RU,1575595192,54.43,31.9,29.75,83,62,13.2
461,Gat,SN,1575594644,14.69,-16.54,68.0,77,93,11.41
462,Aborlan,PH,1575595194,9.44,118.55,84.2,74,75,4.7
463,Saint-Joseph,FR,1575595195,43.56,6.97,51.8,81,90,4.7
464,Abong Mbang,CM,1575595196,3.98,13.18,68.36,63,50,1.52
465,Amapa,HN,1575595197,15.09,-87.97,78.8,74,75,9.17
466,Makhinjauri,GE,1575595198,41.67,41.69,39.2,71,0,16.11
467,Baracoa,CU,1575595199,20.35,-74.5,77.49,85,54,12.91
468,Vieques,PR,1575595200,18.43,-65.83,78.01,94,1,3.36
469,Gwadar,PK,1575595201,25.12,62.33,76.8,54,0,7.74
470,Pimentel,BR,1575595202,-3.7,-45.5,75.49,88,76,5.17
471,Susangerd,IR,1575595203,31.56,48.19,51.8,93,90,2.24
472,Gazojak,TM,1575595204,41.19,61.4,33.85,60,100,10.07
473,Ekibastuz,KZ,1575595205,51.72,75.32,30.81,93,100,15.12
474,Camacha,PT,1575594655,33.08,-16.33,64.4,72,40,17.22
475,Palana,RU,1575594638,59.08,159.95,14.86,78,94,5.12
476,Mercedes,UY,1575595209,-33.25,-58.03,64.99,55,0,1.99
477,Najran,SA,1575595210,17.54,44.22,53.6,58,0,1.5
478,Murray Bridge,AU,1575594647,-35.12,139.28,73.0,59,23,5.01
479,Betsiamites,CA,1575595212,48.94,-68.65,26.6,79,90,5.82
480,Orcopampa,PE,1575595213,-15.27,-72.34,37.18,76,72,5.91
481,Baiyin,CN,1575595214,36.55,104.13,6.8,84,0,6.71
482,Lamesa,US,1575595215,32.74,-101.95,62.6,39,75,10.29
483,Chara,GR,1575595216,39.42,22.43,44.6,87,75,1.88
484,Fortuna Foothills,US,1575595217,32.66,-114.41,64.4,63,1,6.93
485,Verkhnevilyuysk,RU,1575595218,63.45,120.31,-39.44,94,38,7.09
486,Rafai,CF,1575595219,4.95,23.92,68.99,51,1,0.85
487,San Jose de Rio Tinto,HN,1575595220,14.93,-85.7,67.05,89,95,2.82
488,Iquitos,PE,1575595221,-3.75,-73.25,75.2,94,90,4.7
489,Forbes,AU,1575595222,-33.38,148.01,79.57,21,33,12.41
490,Portsoy,GB,1575595223,57.68,-2.69,51.8,100,75,4.7
491,Thunder Bay,CA,1575594956,48.41,-89.26,23.0,100,90,4.7
492,Mutoko,ZW,1575595225,-17.4,32.23,63.5,84,70,4.79
493,Ambilobe,MG,1575594631,-13.19,49.05,75.38,76,67,4.81
494,Grozesti,RO,1575595227,44.65,23.32,23.0,92,90,6.93
495,Chastyye,RU,1575595229,57.29,54.97,24.3,93,100,18.05
496,La Sarre,CA,1575595230,48.8,-79.2,13.95,94,100,6.33
497,Bay City,US,1575595231,43.59,-83.89,34.0,87,90,3.36
498,Goderich,CA,1575594642,43.74,-81.71,35.01,83,96,5.99
499,Baglan,GB,1575595233,51.62,-3.81,52.0,100,100,23.04
500,Bathsheba,BB,1575594638,13.22,-59.52,80.6,74,20,18.34
501,Sapele,NG,1575595235,5.89,5.68,78.42,86,0,1.63
502,Tigre,AR,1575595187,-34.42,-58.58,71.6,49,0,5.82
503,Barranca,PE,1575595237,-10.75,-77.76,66.81,91,26,12.5
504,Ambovombe,MG,1575595238,-25.18,46.09,67.66,77,100,12.03
505,Zhigansk,RU,1575594640,66.77,123.37,-36.44,91,85,10.76
506,Salinas,US,1575595110,36.67,-121.66,60.8,72,20,8.05
507,Wanning,AT,1575594649,48.64,13.53,28.99,92,75,1.12
508,Kapit,MY,1575594643,2.02,112.94,76.15,93,99,0.92
509,Prieska,ZA,1575595243,-29.67,22.74,62.29,78,87,8.21
510,Antalaha,MG,1575595244,-14.9,50.28,78.39,80,44,15.66
511,Samarai,PG,1575595245,-10.62,150.67,83.48,62,92,5.32
512,Naze,NG,1575595246,5.43,7.07,75.97,89,21,3.56
513,Leh,IN,1575595247,34.16,77.58,-3.35,31,0,2.66
514,Xapuri,BR,1575595248,-10.65,-68.5,75.69,87,90,2.37
515,San Cristobal,HN,1575595249,14.68,-86.92,66.83,83,57,4.14
516,Richards Bay,ZA,1575595251,-28.77,32.06,68.9,73,100,18.03
517,Turayf,SA,1575595252,31.68,38.65,51.8,93,0,4.7
518,Ekhabi,RU,1575595253,53.51,142.97,15.57,92,100,25.48
519,Katherine,AU,1575595254,-14.47,132.26,96.8,26,14,2.24
520,Zyryanka,RU,1575595255,65.73,150.89,-11.49,92,100,24.25
521,Englewood,US,1575595253,39.65,-104.99,37.4,98,90,7.92
522,Petropavlivka,UA,1575595257,48.46,36.42,32.54,90,95,8.5
523,Jumla,NP,1575595258,29.28,82.18,29.93,23,48,4.5
524,Shenjiamen,CN,1575595259,29.96,122.3,51.46,74,100,33.78
525,Westerland,NL,1575595260,52.89,4.93,48.99,93,90,27.51
526,Doka,SD,1575595261,13.52,35.76,73.47,35,0,8.41
527,Kuusamo,FI,1575595262,65.96,29.19,32.0,94,90,5.82
528,Kosh-Agach,RU,1575595263,49.99,88.66,8.73,59,98,1.39
529,Dire Dawa,ET,1575595264,9.59,41.86,55.56,67,95,3.42
530,Ler,NO,1575595266,63.2,10.3,39.2,90,75,18.34
531,College,US,1575595267,64.86,-147.8,-18.4,75,1,3.67
532,Ilulissat,GL,1575595268,69.22,-51.1,6.8,38,0,8.05
533,Shawnee,US,1575595111,35.33,-96.93,62.01,62,1,6.93
534,Great Yarmouth,GB,1575595270,52.61,1.73,50.0,87,100,17.22
535,Baoro,CF,1575595271,5.69,15.95,69.73,41,5,4.27
536,Berkakit,RU,1575595272,56.58,124.77,-8.88,93,100,14.83
537,Aksarka,RU,1575595273,66.56,67.8,2.05,96,100,3.8
538,Filadelfia,PY,1575595274,-22.35,-60.04,77.77,46,100,6.17
539,Solnechnyy,RU,1575595275,50.72,136.64,-8.54,87,0,4.81
540,Evans,US,1575595276,40.38,-104.69,36.0,83,90,5.82
541,Kuito,AO,1575595277,-12.38,16.94,61.41,95,100,0.6
542,Darlowo,PL,1575595278,54.42,16.41,36.55,82,83,22.88
543,Vigrestad,NO,1575595280,58.57,5.7,48.2,100,75,10.29
544,Douglas,US,1575595281,58.28,-134.39,37.4,86,90,16.11
545,Kaman,TR,1575595282,39.36,33.73,29.77,76,0,4.18
546,Escarcega,MX,1575595283,18.61,-90.75,78.13,49,12,2.24
547,Arinos,BR,1575595284,-15.92,-46.11,74.01,88,96,1.36
548,Chapais,CA,1575595285,49.78,-74.86,19.4,85,75,9.17
549,Altay,CN,1575595286,47.83,88.13,21.81,36,97,5.1
550,Kitab,UZ,1575595287,39.12,66.88,41.0,93,90,5.26
551,Gander,CA,1575595288,48.95,-54.61,26.6,92,40,12.75
552,Geraldton,CA,1575595289,49.72,-86.95,17.6,85,90,5.82
553,Zorritos,PE,1575595290,-3.68,-80.68,89.6,33,75,5.82
554,Ayan,IR,1575595291,38.23,44.7,25.45,97,100,3.53
555,Vaike-Maarja,EE,1575595292,59.13,26.25,41.07,80,100,14.54
